id_segmento,id_circuito,nodo_inicio,nodo_fin,longitud_m,tipo_conductor,capacidad_amp
109812876,"79 507",65400789,66400789,1.2,"101",1
109785875,"79 507",65984461,65400790,61.955,"101",1
105726051,"79 507",65400791,67400791,1.2,"101",1
109802485,"79 507",65400794,66400794,1.2,"101",1
109401324,"79 507",66400794,65400795,271.154,"101",1
109401327,"79 507",66400791,65400798,891.473,"101",1
109401328,"79 507",66400507,65400799,1170.063,"101",1
109401263,"79 507",66400799,65400800,36.37,"101",1
109405134,"79 507",66400805,65400805,1.2,"101",1
109401268,"79 507",66400804,65400805,6.678,"101",1
105765171,"79 507",65400806,66400806,1.2,"101",1
109757884,"79 507",65400807,66400807,1.2,"101",1
116734104,"79 507",661276164,971276164,1.2,"101",1
116400147,"79 507",66400534,97400534,1.2,"101",1
116400225,"79 507",66400780,97400780,1.2,"101",1
116400228,"79 507",66400797,98400797,1.2,"101",1
116400229,"79 507",66400806,97400806,1.2,"101",1
109711832,"79 507",69400808,65400808,1.2,"101",1
109796902,"79 507",65913583,65400808,60.378,"101",1
105400322,"79 507",65400810,68400810,1.2,"101",1
109812884,"79 507",66401161,65401163,579.464,"101",1
105763766,"79 507",65401163,66401163,1.2,"101",1
109762497,"79 507",65401163,68401163,1.2,"101",1
105400506,"79 507",65401171,66401171,1.2,"101",1
109407480,"79 507",65401189,66401189,1.2,"101",1
109401621,"79 507",66401189,65401200,152.218,"101",1
105738704,"79 507",65401200,66401200,1.2,"101",1
109401638,"79 507",66401201,65401202,531.346,"101",1
105763656,"79 507",66401204,67401204,1.2,"101",1
105400521,"79 507",65401207,66401207,1.2,"101",1
109401651,"79 507",65401214,65401215,287.48,"101",1
109711825,"79 507",67401215,65401215,1.2,"101",1
109406393,"79 507",65401216,66401216,1.2,"101",1
109401653,"79 507",66401216,65401217,606.975,"101",1
109401655,"79 507",66401217,65401218,150.12,"101",1
109406413,"79 507",65401225,66401225,1.2,"101",1
105741220,"79 507",65401228,68401228,1.2,"101",1
109401654,"79 507",66401222,65401233,161.009,"101",1
105401198,"79 507",65402876,66402876,1.2,"101",1
109746705,"79 507",67727097,65727098,66.957,"101",1
109750202,"79 507",68400006,67727102,31.003,"101",1
109711822,"79 507",65739390,65739389,91.192,"101",1
109711821,"79 507",65739391,65739390,225.732,"101",1
109722567,"79 507",67739391,65739391,1.2,"101",1
109796456,"79 507",69400808,65739394,87.588,"101",1
109711829,"79 507",65739395,65739394,107.093,"101",1
109400751,"79 507",66400154,65741184,69.051,"101",1
109712983,"79 507",65820576,65741184,56.905,"101",1
109717131,"79 507",66786198,65750601,97.351,"101",1
109723572,"79 507",68400006,65766274,31.334,"101",1
105712240,"79 507",65766667,66766667,1.2,"101",1
109818797,"79 507",65768385,65768384,10.739,"101",1
109818795,"79 507",65768386,65768385,44.49,"101",1
109725364,"79 507",66770167,66770168,39.424,"101",1
109725388,"79 507",67770172,66770171,64.909,"101",1
109725380,"79 507",66770170,66770171,58.885,"101",1
109725394,"79 507",68770172,66770173,49.812,"101",1
